last_name, first_name,woba,xwoba,diff
Alonso, Yonder,0.277,0.306,-0.029
Bruce, Jay,0.318,0.34,-0.022
Jones, JaCoby,0.312,0.323,-0.011
Hicks, John,0.259,0.247,0.012
Adams, Matt,0.306,0.318,-0.012
Diaz, Elias,0.265,0.281,-0.016
Cuthbert, Cheslor,0.287,0.292,-0.005
Beckham, Tim,0.315,0.303,0.012
Lucroy, Jonathan,0.286,0.306,-0.02
Lowe, Brandon,0.354,0.346,0.008
Hampson, Garrett,0.292,0.265,0.027
La Stella, Tommy,0.351,0.35,0.001
Correa, Carlos,0.38,0.391,-0.011
Marisnick, Jake,0.297,0.255,0.042
Pence, Hunter,0.377,0.358,0.019
McCann, Brian,0.312,0.314,-0.002
Flowers, Tyler,0.31,0.289,0.021
Suzuki, Kurt,0.337,0.338,-0.001
Martin, Richie,0.252,0.25,0.002
Dietrich, Derek,0.334,0.351,-0.017
Parra, Gerardo,0.288,0.298,-0.01
Riley, Austin,0.307,0.305,0.002
Gallo, Joey,0.401,0.395,0.006
Tauchman, Mike,0.364,0.323,0.041
Sandoval, Pablo,0.336,0.336,0
Holt, Brock,0.333,0.317,0.016
Guzman, Ronald,0.306,0.326,-0.02
Buxton, Byron,0.34,0.309,0.031
Naquin, Tyler,0.33,0.327,0.003
Rodriguez, Ronny,0.283,0.29,-0.007
Reyes, Victor,0.325,0.3,0.025
Zunino, Mike,0.235,0.271,-0.036
Lugo, Dawel,0.272,0.29,-0.018
Berti, Jon,0.327,0.313,0.014
Flores, Wilmer,0.359,0.329,0.03
Lagares, Juan,0.258,0.244,0.014
Osuna, Jose,0.32,0.328,-0.008
Haniger, Mitch,0.326,0.327,-0.001
Moore, Dylan,0.299,0.277,0.022
Kinsler, Ian,0.277,0.252,0.025
Duggar, Steven,0.265,0.276,-0.011
Murphy, Tom,0.355,0.301,0.054
Vogt, Stephen,0.331,0.328,0.003
Naylor, Josh,0.306,0.297,0.009
Caratini, Victor,0.338,0.335,0.003
Kemp, Tony,0.285,0.262,0.023
Dickerson, Corey,0.367,0.317,0.05
White, Tyler,0.274,0.274,0
McKinney, Billy,0.292,0.285,0.007
Castro, Jason,0.328,0.364,-0.036
Mercer, Jordy,0.315,0.319,-0.004
Shaw, Travis,0.248,0.278,-0.03
Maybin, Cameron,0.363,0.337,0.026
Beaty, Matt,0.324,0.321,0.003
Nola, Austin,0.337,0.296,0.041
Martin, Leonys,0.269,0.265,0.004
Wendle, Joey,0.275,0.285,-0.01
McCutchen, Andrew,0.358,0.355,0.003
Luplow, Jordan,0.383,0.348,0.035
Ervin, Phillip,0.334,0.295,0.039
Prado, Martin,0.243,0.275,-0.032
VanMeter, Josh,0.316,0.324,-0.008
Upton, Justin,0.307,0.312,-0.005
Allen, Greg,0.274,0.282,-0.008
Hicks, Aaron,0.325,0.301,0.024
Nimmo, Brandon,0.34,0.33,0.01
Castillo, Welington,0.287,0.3,-0.013
Locastro, Tim,0.314,0.301,0.013
Martin, Russell,0.295,0.306,-0.011
Urias, Luis,0.294,0.304,-0.01
Camargo, Johan,0.279,0.282,-0.003
